"Province_State" "Country_Region" "Confirmed" "Deaths"
"Valle d'Aosta" "Italy" 12282 474
"Veneto" "Italy" 477970 11817
"Jamaica" "Jamaica" 88480 2184
"Aichi" "Japan" 106619 1156
"Akita" "Japan" 1899 27
"Aomori" "Japan" 5894 38
"Chiba" "Japan" 100302 1023
"Ehime" "Japan" 5359 82
"Fukui" "Japan" 3105 37
"Fukuoka" "Japan" 74436 622
"Fukushima" "Japan" 9483 175
"Gifu" "Japan" 18743 217
"Gunma" "Japan" 16779 177
"Hiroshima" "Japan" 22028 201
"Hokkaido" "Japan" 60708 1470
"Hyogo" "Japan" 78587 1395
"Ibaraki" "Japan" 24409 219
"Ishikawa" "Japan" 7968 130
"Iwate" "Japan" 3487 53
"Kagawa" "Japan" 4703 38
"Kagoshima" "Japan" 9103 68
"Kanagawa" "Japan" 168935 1306
"Kochi" "Japan" 4162 32
"Kumamoto" "Japan" 14418 136
"Kyoto" "Japan" 35941 290
"Mie" "Japan" 14776 164
"Miyagi" "Japan" 16309 118
"Miyazaki" "Japan" 6138 41
"Nagano" "Japan" 8865 96
"Nagasaki" "Japan" 6100 73
"Nara" "Japan" 15594 150
"Niigata" "Japan" 7995 61
"Oita" "Japan" 8201 84
"Okayama" "Japan" 15259 136
"Okinawa" "Japan" 50287 377
"Osaka" "Japan" 202215 3043
"Port Quarantine" "Japan" 4401 4
"Saga" "Japan" 5864 30
"Saitama" "Japan" 115654 1039
"Shiga" "Japan" 12416 103
"Shimane" "Japan" 1686 5
"Shizuoka" "Japan" 26773 209
"Tochigi" "Japan" 15459 116
"Tokushima" "Japan" 3284 65
"Tokyo" "Japan" 377532 3125
"Tottori" "Japan" 1667 5
"Toyama" "Japan" 4868 52
"Wakayama" "Japan" 5291 62
"Yamagata" "Japan" 3578 57
"Yamaguchi" "Japan" 5716 93
"Yamanashi" "Japan" 5161 29
"Jordan" "Jordan" 854758 10976
"Kazakhstan" "Kazakhstan" 1011656 16991
"Kenya" "Kenya" 252839 5263
"Kiribati" "Kiribati" 2 0
"Korea, South" "South Korea" 356305 2797
"Kosovo" "Kosovo" 160658 2975
"Kuwait" "Kuwait" 412578 2461
"Kyrgyzstan" "Kyrgyzstan" 180741 2658
"Laos" "Laos" 37018 56
"Latvia" "Latvia" 205577 3076
"Lebanon" "Lebanon" 638581 8465
