"Country_Region" "X2021.01.01" "X2021.01.02" "X2021.01.03" "X2021.01.04" "X2021.01.05" "X2021.01.06" "X2021.01.07" "X2021.01.08" "X2021.01.09" "X2021.01.10" "X2021.01.11" "X2021.01.12" "X2021.01.13" "X2021.01.14" "X2021.01.15" "X2021.01.16" "X2021.01.17" "X2021.01.18" "X2021.01.19" "X2021.01.20" "X2021.01.21" "X2021.01.22" "X2021.01.23" "X2021.01.24" "X2021.01.25" "X2021.01.26" "X2021.01.27" "X2021.01.28" "X2021.01.29" "X2021.01.30" "X2021.01.31" "X2021.02.01" "X2021.02.02" "X2021.02.03" "X2021.02.04" "X2021.02.05" "X2021.02.06" "X2021.02.07" "X2021.02.08" "X2021.02.09" "X2021.02.10" "X2021.02.11" "X2021.02.12" "X2021.02.13" "X2021.02.14" "X2021.02.15" "X2021.02.16" "X2021.02.17" "X2021.02.18" "X2021.02.19" "X2021.02.20" "X2021.02.21" "X2021.02.22" "X2021.02.23" "X2021.02.24" "X2021.02.25" "X2021.02.26" "X2021.02.27" "X2021.02.28" "X2021.03.01" "X2021.03.02" "X2021.03.03" "X2021.03.04" "X2021.03.05" "X2021.03.06" "X2021.03.07" "X2021.03.08" "X2021.03.09" "X2021.03.10" "X2021.03.11" "X2021.03.12" "X2021.03.13" "X2021.03.14" "X2021.03.15" "X2021.03.16" "X2021.03.17" "X2021.03.18" "X2021.03.19" "X2021.03.20" "X2021.03.21" "X2021.03.22" "X2021.03.23" "X2021.03.24" "X2021.03.25" "X2021.03.26" "X2021.03.27" "X2021.03.28" "X2021.03.29" "X2021.03.30" "X2021.03.31" "X2021.04.01" "X2021.04.02" "X2021.04.03" "X2021.04.04" "X2021.04.05" "X2021.04.06" "X2021.04.07" "X2021.04.08" "X2021.04.09" "X2021.04.10" "X2021.04.11" "X2021.04.12" "X2021.04.13" "X2021.04.14" "X2021.04.15" "X2021.04.16" "X2021.04.17" "X2021.04.18" "X2021.04.19" "X2021.04.20" "X2021.04.21" "X2021.04.22" "X2021.04.23" "X2021.04.24" "X2021.04.25" "X2021.04.26" "X2021.04.27" "X2021.04.28" "X2021.04.29" "X2021.04.30" "X2021.05.01" "X2021.05.02" "X2021.05.03" "X2021.05.04" "X2021.05.05" "X2021.05.06" "X2021.05.07" "X2021.05.08" "X2021.05.09" "X2021.05.10" "X2021.05.11" "X2021.05.12" "X2021.05.13" "X2021.05.14" "X2021.05.15" "X2021.05.16" "X2021.05.17" "X2021.05.18" "X2021.05.19" "X2021.05.20" "X2021.05.21" "X2021.05.22" "X2021.05.23" "X2021.05.24" "X2021.05.25" "X2021.05.26" "X2021.05.27" "X2021.05.28" "X2021.05.29" "X2021.05.30" "X2021.05.31" "X2021.06.01" "X2021.06.02" "X2021.06.03" "X2021.06.04" "X2021.06.05" "X2021.06.06" "X2021.06.07" "X2021.06.08" "X2021.06.09" "X2021.06.10" "X2021.06.11" "X2021.06.12" "X2021.06.13" "X2021.06.14" "X2021.06.15" "X2021.06.16" "X2021.06.17" "X2021.06.18" "X2021.06.19" "X2021.06.20" "X2021.06.21" "X2021.06.22" "X2021.06.23" "X2021.06.24" "X2021.06.25" "X2021.06.26" "X2021.06.27" "X2021.06.28" "X2021.06.29" "X2021.06.30" "X2021.07.01" "X2021.07.02" "X2021.07.03" "X2021.07.04" "X2021.07.05" "X2021.07.06" "X2021.07.07" "X2021.07.08" "X2021.07.09" "X2021.07.10" "X2021.07.11" "X2021.07.12" "X2021.07.13" "X2021.07.14" "X2021.07.15" "X2021.07.16" "X2021.07.17" "X2021.07.18" "X2021.07.19" "X2021.07.20" "X2021.07.21" "X2021.07.22" "X2021.07.23" "X2021.07.24" "X2021.07.25" "X2021.07.26" "X2021.07.27" "X2021.07.28" "X2021.07.29" "X2021.07.30" "X2021.07.31" "X2021.08.01" "X2021.08.02" "X2021.08.03" "X2021.08.04" "X2021.08.05" "X2021.08.06" "X2021.08.07" "X2021.08.08" "X2021.08.09" "X2021.08.10" "X2021.08.11" "X2021.08.12" "X2021.08.13" "X2021.08.14" "X2021.08.15" "X2021.08.16" "X2021.08.17" "X2021.08.18" "X2021.08.19" "X2021.08.20" "X2021.08.21" "X2021.08.22" "X2021.08.23" "X2021.08.24" "X2021.08.25" "X2021.08.26" "X2021.08.27" "X2021.08.28" "X2021.08.29" "X2021.08.30" "X2021.08.31" "X2021.09.01" "X2021.09.02" "X2021.09.03" "X2021.09.04" "X2021.09.05" "X2021.09.06" "X2021.09.07" "X2021.09.08" "X2021.09.09" "X2021.09.10" "X2021.09.11" "X2021.09.12" "X2021.09.13" "X2021.09.14" "X2021.09.15" "X2021.09.16" "X2021.09.17" "X2021.09.18" "X2021.09.19" "X2021.09.20" "X2021.09.21" "X2021.09.22" "X2021.09.23" "X2021.09.24" "X2021.09.25" "X2021.09.26" "X2021.09.27" "X2021.09.28" "X2021.09.29" "X2021.09.30" "X2021.10.01" "X2021.10.02" "X2021.10.03" "X2021.10.04" "X2021.10.05" "X2021.10.06" "X2021.10.07" "X2021.10.08" "X2021.10.09" "X2021.10.10" "X2021.10.11" "X2021.10.12" "X2021.10.13" "X2021.10.14" "X2021.10.15" "X2021.10.16" "X2021.10.17" "X2021.10.18" "X2021.10.19" "X2021.10.20" "X2021.10.21" "X2021.10.22" "X2021.10.23" "X2021.10.24" "X2021.10.25" "X2021.10.26" "X2021.10.27" "X2021.10.28" "X2021.10.29" "X2021.10.30" "X2021.10.31" "X2021.11.01" "X2021.11.02" "X2021.11.03" "X2021.11.04" "X2021.11.05" "X2021.11.06" "X2021.11.07" "X2021.11.08" "X2021.11.09" "X2021.11.10" "X2021.11.11" "X2021.11.12" "X2021.11.13" "X2021.11.14" "X2021.11.15" "X2021.11.16" "X2021.11.17" "X2021.11.18" "X2021.11.19" "X2021.11.20" "X2021.11.21"
"106" "MS Zaandam" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"107" "Madagascar" 0 53 53 53 53 53 53 53 53 287 287 287 287 287 287 287 587 587 587 587 587 587 587 1029 1029 1029 1029 1029 1029 1029 1351 1351 1351 1351 1351 1351 1351 1646 1646 1646 1646 1646 1646 1646 1884 1884 1884 1884 1884 1884 1884 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2117 2441 2441 2441 2441 2441 2441 2441 3642 3642 3873 3974 4112 4285 4399 4561 4770 4902 4968 5130 5326 5516 5710 5871 6255 6550 6712 6982 7254 7548 7858 7995 8160 8413 8761 9320 9834 10349 10827 11051 11634 12493 13325 13903 14491 15084 15488 15878 16355 17061 17548 18032 18331 18476 18796 18982 19300 19582 19916 20037 20275 20402 20623 20927 21160 21298 21448 21637 21796 22045 22174 22291 22427 22490 22612 22671 22805 22978 23066 23162 23240 23285 23347 23388 23470 23520 23552 23628 23652 23705 23774 23826 23917 23976 24028 24044 24072 24126 24155 24180 24219 24234 24252 24284 24320 24362 24373 24409 24423 24423 24447 24452 24480 24480 24480 24480 24493 24502 24533 24550 24574 24597 24615 24623 24644 24662 24678 24678 24678 24678 24748 24748 24765 24781 24806 24822 24824 24837 24844 24847 24867 24876 24885 24885 24893 24901 24931 24938 24949 24951 24958 24960 24971 24971 24971 24971 25062 25067 25073 25077 25081 25088 25097 25097 25105 25105 25118 25122 25124 25128 25131 25133 25133 25136 25140 25143 25148 25148 25148 25155 25159 25159 25164 25167 25170 25170 25170 25170 25170 25177 25180 25180 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25184 25896 25896 25896 25896 25896 25896 25896 25896 25902 25902 25902 25902 25902 25908 25908 25908 25908 25908 25908 25908 25912 25912 25912 25912 25912 25912 25912 25918 25918 25918 25918 25918 25918 25918 25918 25958 25958 25958 25958 25958 25958 25958 25958 25958 25958 25958 25958
"108" "Malawi" 101 129 261 352 527 754 1028 1342 1723 1992 2444 2444 2817 3408 4640 5202 5887 6444 7297 8268 9466 10782 11856 12812 13404 14247 15077 15721 16437 16914 17380 17782 18320 18866 19301 19777 20292 20612 20839 21139 21467 21687 22047 22293 22452 22598 22838 23051 23254 23694 23945 24159 24359 24523 24712 24919 25092 25215 25362 25425 25565 25646 25700 25700 25815 25859 25886 25945 26031 26090 26163 26206 26206 26281 26311 26387 26462 26591 26633 26654 26687 26740 26771 26804 26832 26875 26898 26922 26942 26968 27001 27056 27064 27078 27090 27102 27135 27155 27196 27222 27244 27276 27289 27308 27319 27336 27336 27358 27376 27385 27392 27406 27406 27428 27433 27438 27448 27469 27479 27495 27512 27513 27516 27540 27560 27568 27575 27583 27588 27597 27600 27600 27617 27617 27627 27631 27633 27648 27655 27668 27678 27691 27701 27710 27712 27721 27721 27740 27746 27752 27755 27763 27777 27782 27788 27801 27807 27820 27827 27849 27864 27887 27902 27902 27981 28005 28067 28119 28198 28249 28285 28331 28413 28532 28636 28805 28971 29046 29126 29314 29543 29776 29990 30237 30343 30474 30783 30973 31400 31851 32363 32603 32835 33349 34130 34915 35671 36460 36887 37234 38101 38882 39834 40682 41483 42054 42426 43169 43798 44558 45226 45764 46048 46404 46920 47595 48132 48635 49116 49337 49552 49991 50369 50690 51037 51313 51500 51638 51882 52278 52465 52666 52816 52888 53041 53204 53371 53507 53638 53730 53762 53803 53911 54000 54080 54145 54220 54238 54269 54315 54382 54412 54469 54515 54530 54554 54588 54624 54667 54704 54754 54780 54799 54833 54850 54870 54892 54914 54926 54934 54945 54969 54997 55014 55026 55029 55036 55046 55056 55065 55080 55089 55093 55096 55111 55116 55119 55126 55129 55133 55143 55149 55155 55162 55164 55174 55174 55182 55183 55191 55199 55206 55211 55213 55217 55219 55220 55220 55220 55232 55232 55235 55238 55249 55251 55258 55260 55260 55262 55263 55271 55275 55278 55280 55280
"109" "Malaysia" 2068 4363 6067 7808 9835 12428 15455 18098 20549 22982 25214 28523 31508 34845 38056 42085 45424 48730 52361 56369 59539 63170 67445 70791 73839 77424 81104 85198 90923 96651 101949 106163 109618 113902 118473 121864 125711 129442 132542 135306 138594 141978 145296 148795 151259 153435 156155 159153 161865 164801 167262 170559 172751 175219 178764 180688 182941 185305 187742 189570 191125 192870 194933 197087 198767 200450 201979 203259 204707 206354 207929 209399 210753 211961 213024 214243 215456 217032 218703 220030 221146 222530 223798 225158 226433 227632 228934 229875 231008 232490 233668 234962 236600 237949 239019 240319 241458 242743 244597 246107 247846 249163 250930 252819 254967 257518 259849 262044 264122 266463 268803 271678 274525 277242 279932 282708 285441 288583 291915 295703 298584 302002 304502 307622 311366 314917 319415 323934 327667 331474 335447 340212 345067 349180 353320 357100 361546 366411 372486 379292 385785 392105 399081 405590 412879 420357 428214 436504 445524 452523 459347 466452 474155 482364 490112 497564 503805 509076 514642 520881 526552 533401 539194 544498 549447 554866 560016 565754 572194 578105 583398 588009 592752 597996 603837 609649 615452 621038 626256 632693 638969 645957 652939 659597 665642 672029 679683 686780 695648 704828 714181 723286 731860 742939 754557 767772 780313 792841 803551 814523 826889 838874 851908 867481 883383 900428 914944 931061 948466 965636 982476 1000262 1017412 1033176 1050281 1070100 1090696 1111585 1130842 1149530 1166766 1186757 1207537 1229205 1250673 1271343 1291889 1311629 1331260 1353502 1376450 1400014 1422276 1442083 1459755 1480592 1503234 1527833 1549903 1572500 1593079 1612347 1633244 1652006 1672994 1692372 1711429 1731825 1749177 1767724 1787457 1806764 1827940 1847490 1866688 1882761 1898430 1917925 1936740 1954317 1969866 1984820 1999165 2014924 2029914 2043668 2058222 2072121 2085225 2096184 2107516 2119950 2132685 2144574 2155489 2164555 2172630 2181447 2190827 2200717 2210468 2219211 2226584 2233293 2240569 2248519 2256603 2264023 2271532 2277677 2283111 2288856 2294372 2300582 2307212 2313040 2318706 2323488 2329214 2335362 2341739 2347799 2353653 2358632 2363258 2368329 2373620 2379333 2384255 2388956 2393299 2397842 2404163 2409488 2415811 2422328 2428137 2433299 2438442 2443855 2450143 2456523 2462878 2468737 2473591
"110" "Maldives" 47 77 110 136 173 210 231 283 308 352 402 461 520 568 618 669 756 825 876 955 1008 1073 1128 1236 1345 1490 1633 1739 1857 1979 2084 2299 2398 2519 2653 2790 2899 3026 3152 3344 3444 3630 3750 3959 4071 4196 4325 4467 4583 4710 4855 5012 5173 5281 5405 5589 5722 5840 6036 6222 6387 6523 6690 6808 6906 7037 7162 7277 7387 7511 7625 7719 7815 7909 8062 8204 8390 8535 8616 8756 8905 9033 9172 9334 9480 9646 9767 9914 10081 10322 10622 10791 10894 11026 11151 11296 11434 11547 11679 11767 11860 11944 12002 12087 12182 12264 12388 12591 12748 12910 13163 13327 13646 13864 14117 14445 14831 15295 15613 16078 16480 16988 17573 18174 18908 19611 20377 20967 22058 23262 24763 26335 27551 29018 30025 30766 32199 33664 34851 37045 38648 40608 42167 43584 44588 45887 47186 48087 49149 49929 50639 51407 52111 52759 53191 53781 54193 54745 55115 55456 55779 56074 56320 56544 56916 57140 57381 57599 57741 57952 58139 58392 58537 58709 58921 59187 59337 59570 59725 59903 60041 60174 60317 60467 60594 60723 60828 60967 61091 61146 61236 61314 61405 61575 61648 61865 61979 62059 62122 62262 62431 62575 62697 62789 62870 62993 63091 63196 63337 63445 63552 63675 63790 63876 64001 64138 64242 64373 64486 64599 64707 64821 64933 65058 65169 65243 65380 65532 65662 65768 65902 65997 66107 66202 66310 66461 66571 66679 66782 66921 67034 67203 67355 67544 67717 67896 68053 68222 68342 68507 68607 68718 68821 68927 69065 69193 69313 69405 69491 69575 69737 69819 69898 70118 70260 70346 70407 70533 70605 70727 70822 70963 71052 71109 71214 71214 71350 71441 71521 71591 71637 71708 71791 71865 71975 72081 72175 72220 72331 72408 72454 72567 72662 72793 72848 73073 73165 73314 73429 73602 73730 73730 73730 73881 74158 74301 74520 74629 74759 74878 75060 75209 75369 75498 75607 75772 75956 76083 76242 76360 76509 76583 76707 76844 76968
"111" "Mali" 113 136 163 170 259 305 337 422 475 510 574 597 648 669 710 733 749 765 790 807 821 847 875 893 905 916 947 966 973 979 1001 1010 1021 1029 1040 1055 1070 1086 1091 1102 1113 1128 1132 1136 1139 1145 1151 1166 1166 1170 1202 1209 1216 1234 1242 1259 1268 1275 1286 1300 1330 1356 1380 1419 1470 1490 1523 1523 1620 1692 1723 1772 1823 1843 1928 1976 2028 2101 2180 2240 2290 2384 2487 2557 2629 2683 2781 2831 2908 2952 3109 3195 3342 3490 3530 3668 3751 4164 4303 4615 4754 4912 5089 5377 5616 5745 5890 5980 6055 6156 6246 6330 6414 6470 6537 6568 6632 6690 6725 6768 6806 6825 6847 6879 6908 6939 6969 6992 7018 7025 7043 7059 7059 7073 7086 7100 7104 7117 7131 7136 7146 7150 7151 7154 7162 7166 7169 7172 7175 7175 7177 7181 7191 7191 7197 7206 7208 7212 7234 7238 7239 7246 7259 7260 7262 7266 7269 7274 7285 7290 7291 7295 7295 7301 7306 7314 7324 7327 7329 7332 7336 7338 7345 7348 7359 7361 7364 7364 7365 7367 7371 7373 7386 7396 7402 7406 7412 7419 7423 7423 7432 7434 7437 7442 7450 7452 7456 7461 7473 7476 7484 7494 7497 7499 7505 7515 7525 7543 7547 7552 7557 7562 7572 7579 7595 7602 7605 7607 7611 7624 7645 7650 7659 7667 7673 7688 7705 7713 7724 7756 7767 7783 7799 7805 7819 7829 7840 7849 7852 7859 7871 7878 7887 7891 7893 7894 7901 7912 7930 7939 7970 7978 7984 7992 8013 8033 8040 8063 8073 8075 8093 8104 8129 8165 8188 8197 8213 8247 8278 8304 8325 8360 8381 8400 8421 8446 8473 8487 8513 8529 8553 8584 8607 8651 8686 8719 8758 8776 8789 8834 8857 8888 8948 8983 9008 9058 9105 9143 9204 9252 9281 9316 9378 9436 9472 9515 9553 9576 9589 9626 9668 9706 9762 9829 9856
"112" "Malta" 135 223 308 456 614 838 1002 1193 1438 1622 1755 1995 2184 2305 2498 2673 2814 2968 3168 3355 3506 3649 3768 3884 4087 4225 4418 4626 4811 4947 5129 5253 5394 5532 5611 5668 5802 5902 6039 6241 6408 6559 6723 6877 7015 7171 7273 7472 7635 7789 7988 8118 8311 8532 8758 8950 9208 9445 9708 9883 10219 10452 10814 11097 11442 11624 11825 12073 12583 12866 13195 13493 13761 13974 14287 14498 14741 14920 15130 15354 15545 15635 15736 15838 15941 16034 16101 16164 16219 16259 16311 16353 16415 16449 16505 16569 16634 16689 16737 16774 16840 16887 16946 17004 17059 17086 17153 17192 17252 17265 17289 17322 17355 17375 17400 17415 17460 17475 17502 17518 17533 17545 17580 17607 17637 17646 17658 17664 17673 17684 17690 17695 17699 17700 17704 17706 17710 17712 17715 17717 17723 17725 17730 17732 17735 17742 17746 17752 17755 17759 17761 17769 17779 17783 17785 17794 17797 17797 17798 17799 17803 17805 17807 17807 17808 17808 17811 17811 17814 17814 17815 17816 17821 17821 17824 17829 17832 17832 17838 17844 17849 17853 17859 17866 17878 17890 17901 17926 17981 18077 18186 18287 18466 18620 18838 19060 19295 19501 19696 19842 20059 20258 20424 20596 20767 20894 20988 21130 21221 21316 21427 21521 21601 21665 21734 21816 21894 21942 22013 22072 22128 22179 22266 22317 22418 22512 22563 22606 22660 22742 22828 22879 22947 23000 23057 23092 23134 23176 23216 23265 23315 23349 23397 23473 23548 23590 23652 23701 23738 23779 23832 23862 23900 23934 23984 24019 24069 24101 24126 24153 24178 24198 24220 24244 24262 24274 24287 24303 24316 24329 24345 24353 24375 24389 24413 24423 24447 24472 24490 24509 24533 24549 24573 24584 24601 24619 24638 24663 24671 24679 24690 24712 24732 24749 24759 24765 24777 24790 24806 24821 24836 24844 24863 24879 24899 24928 24962 24999 25039 25080 25130 25157 25192 25230 25293 25343 25394 25426 25481 25545 25609 25675 25754 25813 25935
"113" "Marshall Islands" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"114" "Mauritania" 217 313 430 511 617 747 850 988 1065 1148 1247 1343 1430 1529 1599 1635 1675 1717 1783 1848 1902 1958 1993 2033 2057 2096 2142 2179 2212 2244 2271 2298 2325 2356 2376 2413 2428 2443 2463 2504 2538 2561 2590 2601 2610 2632 2652 2677 2694 2707 2719 2731 2746 2766 2794 2815 2823 2832 2843 2853 2871 2888 2903 2921 2945 2958 2976 3001 3021 3030 3046 3060 3074 3093 3123 3157 3178 3206 3223 3237 3266 3294 3326 3348 3381 3392 3407 3432 3460 3483 3514 3540 3553 3563 3575 3591 3610 3631 3641 3648 3658 3671 3688 3702 3708 3739 3757 3765 3778 3792 3811 3828 3843 3876 3893 3918 3950 3982 4013 4038 4065 4084 4112 4139 4178 4212 4249 4272 4303 4327 4327 4381 4403 4417 4442 4464 4494 4541 4593 4647 4685 4750 4785 4831 4887 4923 4980 5043 5099 5130 5183 5234 5286 5331 5388 5421 5453 5489 5531 5559 5595 5641 5676 5709 5745 5787 5835 5889 5924 5950 5972 6001 6051 6109 6148 6204 6240 6271 6312 6383 6444 6530 6613 6663 6712 6770 6872 6939 6939 7135 7226 7308 7401 7538 7685 7823 7934 8144 8273 8389 8565 8729 8859 9014 9191 9391 9644 9985 10298 10699 11059 11327 11609 11838 12191 12538 12867 13232 13593 13833 14074 14360 14640 14943 15239 15520 15757 15990 16271 16533 16810 17026 17278 17458 17662 17856 18122 18357 18603 18794 18945 19068 19216 19361 19505 19625 19747 19840 19933 20044 20140 20230 20328 20407 20514 20586 20678 20778 20848 20964 21016 21098 21151 21230 21297 21353 21413 21455 21495 21525 21578 21625 21666 21715 21750 21799 21799 21865 21907 21948 21984 22023 22050 22068 22101 22145 22186 22227 22281 22313 22358 22395 22419 22456 22502 22546 22591 22625 22668 22730 22791 22858 22911 22956 23004 23071 23125 23171 23244 23295 23339 23391 23391 23520 23577 23637 23705 23769 23824 23914 23994 24076 24151 24219 24283
"115" "Mauritius" 0 0 0 4 4 12 12 12 12 12 18 19 20 20 20 20 20 29 29 29 29 29 29 29 41 41 42 42 42 42 42 55 56 57 57 57 57 57 66 67 68 68 68 68 68 74 76 76 76 76 76 76 76 83 83 83 83 83 83 92 92 92 93 98 112 114 114 114 114 137 184 212 215 220 231 235 241 266 269 278 282 299 323 326 344 344 406 431 469 501 512 568 577 585 594 603 640 644 656 663 665 666 671 674 675 675 676 676 676 676 677 678 678 679 679 679 679 680 681 682 684 684 684 687 689 689 699 713 719 729 730 739 747 750 753 755 760 761 761 761 765 766 766 769 784 805 814 829 836 840 848 872 891 894 894 894 931 931 931 969 969 1037 1039 1146 1182 1202 1202 1202 1246 1246 1246 1273 1293 1309 1318 1325 1325 1325 1353 1371 1371 1371 1386 1386 1386 1457 1520 1551 1551 1604 1604 1604 1604 1733 1797 1837 1837 1837 2008 2008 2204 2593 2654 2861 2861 2861 3258 3258 3386 3386 3386 3386 3386 3866 3866 3966 4065 4065 4065 4065 4593 4692 4692 4822 5080 5080 5080 5595 5595 5933 6231 6543 6543 6543 7571 7807 8140 8140 8140 8140 8140 9669 10149 10149 10149 10654 10654 10654 10939 12089 12089 12256 12256 12587 12587 12762 13255 13255 13546 13716 13716 13716 14208 14336 14336 14336 14634 14634 14634 14864 14864 15080 15168 15168 15168 15168 15249 15249 15556 15662 15662 15662 15662 15764 15910 15945 15945 16094 16094 16094 16142 16278 16278 16424 16520 16520 16520 16616 16889 16889 17059 17171 17171 17171 17285 17285 17678 17787 17787 17787 17787 18004 18452 18452 18452 18452 18452 18452 18452 18452 18452 18452 18452 18452 18452
"116" "Mexico" 11091 17450 22661 29125 40396 53741 67475 81837 97942 107945 115539 129934 145807 162275 183641 204164 215334 223408 242302 262850 285189 306196 326253 337125 345646 362811 380755 399425 415799 431136 438166 443614 447998 460151 460151 486777 499986 506051 509919 520657 531795 542472 552860 562601 566700 569798 578481 587469 596568 604397 612182 615286 617538 626172 634814 643276 650788 658034 660844 663187 671100 678893 686414 693211 699772 702506 704383 711790 718392 724861 731677 737781 740196 741635 742913 749368 756094 761816 767545 769678 771066 776947 782661 788448 793751 798810 800456 801749 806816 812793 818174 821263 823101 824364 825611 830415 835785 840925 845970 852326 854119 855746 860258 865152 869341 873845 878002 879508 880816 885078 889717 893425 897336 900644 902297 903440 907032 910850 914840 918661 921686 922779 923806 926870 929891 932737 935780 938523 939698 940402 942299 945389 949021 951901 954596 955829 956651 959418 961418 964046 966650 969236 970510 971213 973696 976628 979678 982684 985409 986716 987648 994565 997834 1000728 1003537 1005608 1007587 1008468 1011917 1015772 1019444 1022726 1026375 1028082 1029257 1033507 1037296 1041549 1045647 1045647 1051189 1052457 1056690 1061653 1066993 1072263 1077314 1079698 1081359 1087070 1093175 1099256 1105098 1111363 1113974 1115779 1123768 1132275 1141727 1151046 1160627 1164406 1167480 1178617 1190733 1203554 1215974 1228605 1233043 1238350 1252203 1267401 1283645 1283645 1315889 1322424 1328344 1345752 1364780 1384003 1403349 1422158 1428898 1435404 1454315 1475000 1496569 1518132 1538150 1545723 1552236 1571791 1594502 1619477 1642235 1665877 1665877 1682344 1697158 1726111 1749280 1771014 1791321 1798979 1805522 1823784 1845034 1865667 1885223 1902769 1909606 1915170 1926316 1943653 1961791 1979200 1994786 2002290 2007417 2023201 2039077 2053905 2053905 2080649 2085788 2089949 2102878 2116095 2123135 2126889 2126889 2143583 2146950 2159471 2171074 2182882 2193021 2193021 2206706 2209713 2219505 2229301 2238129 2245517 2252886 2252886 2258148 2258148 2265830 2281140 2288298 2288298 2297141 2299148 2306335 2312655 2318480 2323766 2328969 2330962 2332375 2336595 2341664 2346462 2351115 2355567 2355567 2358354 2358354 2362892 2372192 2376193 2379671 2381117 2381117 2382111 2385699 2388359 2392122 2399310 2400692 2400692 2405165 2405165 2412214 2412214 2415567 2418697 2419639 2420414 2424985 2428900 2428900 2432737 2436043
"117" "Micronesia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
